Patch_ID,Pop_ID,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor,Reference_lat,Reference_long
AS077,MW063,43.628807,-79.652009,North,13.69,,
AS078,MW064,43.626304,-79.673743,North,14.79,,
AS078,MW064,43.626304,-79.673743,North,14.79,,
AS079,MW065,43.618104,-79.701542,North,16.25,,
AS079,MW065,43.618104,-79.701542,North,16.25,,
AS079,MW065,43.618104,-79.701542,North,16.25,,
AS079,MW065,43.618104,-79.701542,North,16.25,,
AS079,MW065,43.618104,-79.701542,North,16.25,,
AS080,MW066,43.613475,-79.705867,North,16.52,,
AS080,MW066,43.613475,-79.705867,North,16.52,,
AS080,MW066,43.613475,-79.705867,North,16.52,,
AS080,MW066,43.613475,-79.705867,North,16.52,,
AS080,MW066,43.613475,-79.705867,North,16.52,,
AS081,MW067,43.595802,-79.719547,North,17.45,,
AS081,MW067,43.595802,-79.719547,North,17.45,,
AS081,MW067,43.595802,-79.719547,North,17.45,,
AS081,MW067,43.595802,-79.719547,North,17.45,,
AS081,MW067,43.595802,-79.719547,North,17.45,,
AS082,MW068,43.553597,-79.699608,South,17.45,,
AS082,MW068,43.553597,-79.699608,South,17.45,,
AS082,MW068,43.553597,-79.699608,South,17.45,,
AS082,MW068,43.553597,-79.699608,South,17.45,,
AS082,MW068,43.553597,-79.699608,South,17.45,,
AS083,MW069,43.571026,-79.733337,North,18.59,,
AS083,MW069,43.571026,-79.733337,North,18.59,,
AS083,MW069,43.571026,-79.733337,North,18.59,,
AS083,MW069,43.571026,-79.733337,North,18.59,,
AS083,MW069,43.571026,-79.733337,North,18.59,,
AS084,MW070,43.564655,-79.720469,North,18.13,,
AS084,MW070,43.564655,-79.720469,North,18.13,,
AS084,MW070,43.564655,-79.720469,North,18.13,,
AS084,MW070,43.564655,-79.720469,North,18.13,,
AS084,MW070,43.564655,-79.720469,North,18.13,,
AS085,MW071,43.5789,-79.713398,North,17.47,,
AS085,MW071,43.5789,-79.713398,North,17.47,,
AS085,MW071,43.5789,-79.713398,North,17.47,,
AS085,MW071,43.5789,-79.713398,North,17.47,,
AS085,MW071,43.5789,-79.713398,North,17.47,,
AS086,MW072,43.554564,-79.756834,North,20.08,,
AS086,MW072,43.554564,-79.756834,North,20.08,,
AS086,MW072,43.554564,-79.756834,North,20.08,,
AS086,MW072,43.554564,-79.756834,North,20.08,,
AS086,MW072,43.554564,-79.756834,North,20.08,,
AS087,MW073,43.568721,-79.651832,South,14.84,,
AS087,MW073,43.568721,-79.651832,South,14.84,,
AS087,MW073,43.568721,-79.651832,South,14.84,,
AS087,MW073,43.568721,-79.651832,South,14.84,,
AS087,MW073,43.568721,-79.651832,South,14.84,,
AS088,MW074,43.573691,-79.63648,South,14,,
AS089,MW075,43.579335,-79.630017,South,13.55,,
AS089,MW075,43.579335,-79.630017,South,13.55,,
AS089,MW075,43.579335,-79.630017,South,13.55,,
AS089,MW075,43.579335,-79.630017,South,13.55,,
AS089,MW075,43.579335,-79.630017,South,13.55,,
AS090,MW076,43.589966,-79.6183,South,12.73,,
AS090,MW076,43.589966,-79.6183,South,12.73,,
AS090,MW076,43.589966,-79.6183,South,12.73,,
AS090,MW076,43.589966,-79.6183,South,12.73,,
AS090,MW076,43.589966,-79.6183,South,12.73,,
AS091,MW077,43.591194,-79.608405,South,12.24,,
AS091,MW077,43.591194,-79.608405,South,12.24,,
AS091,MW077,43.591194,-79.608405,South,12.24,,
AS091,MW077,43.591194,-79.608405,South,12.24,,
AS091,MW077,43.591194,-79.608405,South,12.24,,
AS092,MW078,43.601609,-79.583684,South,10.82,,
AS092,MW078,43.601609,-79.583684,South,10.82,,
AS092,MW078,43.601609,-79.583684,South,10.82,,
AS092,MW078,43.601609,-79.583684,South,10.82,,
AS092,MW078,43.601609,-79.583684,South,10.82,,
AS093,MW079,43.633829,-79.553119,South,8.75,,
AS093,MW079,43.633829,-79.553119,South,8.75,,
AS093,MW079,43.633829,-79.553119,South,8.75,,
AS093,MW079,43.633829,-79.553119,South,8.75,,
AS093,MW079,43.633829,-79.553119,South,8.75,,
